factcheck	jac	ok	1570	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/factcheck/jac
factcheck	langgraph	ok	949	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/factcheck/langgraph
factcheck	openai	ok	934	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/factcheck/openai
email	byLLM	ok	147	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/email/byLLM
email	CrewAI-LangGraph	ok	119	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/email/CrewAI-LangGraph
email	openai_sdk	ok	112	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/email/openai_sdk
meeting	byLLM	ok	191	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/meeting/byLLM
meeting	CrewAI	ok	91	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/meeting/CrewAI
meeting	openai_sdk	ok	44	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/meeting/openai_sdk
ytnav	all	ok	527	/home/xiaoyu/Jac-Agent-Comparison/sweep_results/gpt41mini-v1/ytnav/all
